15F1EB-3    x possibly needs rewrite? check note
19DA37-1      needs rewrite
19DCC2-4    x - start of ending-specific text
19DF59-3      needs rewrite
19E2FC-6      needs rewrite - one of the words translates to "autism"
19E735-0      needs rewrite
19E80E-1      needs rewrite
19E9FB-3      needs rewrite? - choice A
19EB20-4      needs rewrite
19ECC0-0    x - choice B
19EFB4-6      needs rewrite
19F0E7-2    x - converging point
19F1C6-0      needs rewrite
19F30D-3      needs rewrite
19F3D3-7      needs rewrite
19F8E8-6    x but check with someone else
1A8ECE-2      needs rewrite, untranslatable pun
1A8F25-3      needs rewrite
1A8F94-4      needs rewrite
1A941C-2      needs rewrite
1A94E1-2      needs (?) rewrite for grilled chicken
1A952C-0    x same issue as with above
1A982C-2      needs rewrite? - check ptr 855 if screen overflows
1A9AA8-0      needs rewrite?
1A9AC9-1      needs rewrite?
1A9CF4-2      needs rewrite
1A9EFB-4      needs rewrite
1A9F8E-7      needs rewrite
1AA0EA-0      needs rewrite
1AA1A2-0      needs rewrite for last line
1AA525-6      needs rewrite but otherwise good
1AA633-3      needs rewrite
1AA674-2      depends on next four sections
1AA685-3      needs rewrite
1AA69A-7      needs rewrite
1AA6AE-5      needs rewrite
1AA6CC-0      needs rewrite
1AA828-7      needs rewrite for last line
1AA912-7      again, depends on next four sections
1AA929-5      needs rewrite
1AA95C-7      needs rewrite
1AA975-6      needs rewrite
1AA98D-7      needs rewrite
1AAD7C-7      needs rewrite
1AAF32-6      needs rewrite
1AAF4E-1      needs rewrite but otherwise good
1AB2F2-7      needs rewrite
1AB544-2      needs rewrite?
1AB7FB-1      needs rewrite
1ABC91-4      needs rewrite or at least checkup
1ABCDB-1      same, see above
1ABDFB-0      needs rewrite
1ABF26-1      needs rewrite
1AC02F-3    x - make sure all pointers to here have under 4 lines
1AC10E-0      try to get choice list to 10 lines
1AC2B6-6      needs rewrite
1AC398-1      needs rewrite
1AC46F-1      needs rewrite
1AC67D-4      needs rewrite
1AC6E0-7      needs rewrite; Japanese pun
1AC84C-7      needs rewrite, Japanese pun
1AC89B-6      needs rewrite, Japanese pun
1AC974-2      needs rewrite
1AC9B8-6    x needs rewrite
1ACA8B-2      needs rewrite
1ACA9D-0      needs rewrite
1ACC99-2    x - specify "Socrates's bad wife" is Xanthippe?
1AD12A-6      needs rewrite
1AD156-7      needs rewrite
1AD16E-7      needs rewrite
1AD21A-3      needs rewrite
1AD5C6-7    x needs rewrite on "grown-up"?
1AD651-3    x needs rewrite?
1AD66B-0      needs rewrite on subjects
1AD82A-1      needs rewrite
1ADAA2-3      needs rewrite? check with someone else
1ADCBF-2      needs rewrite?
1ADD6C-5      needs rewrite
1AE170-7      needs consistent decision on how a certain thing howls
1AE246-7      needs rewrite; Japanese cultural reference
1AE2E8-3      possibly needs rewrite
1AE3B9-7      needs rewrite
1AE3CD-2      needs rewrite
1AE64B-2      needs rewrite
1AE678-4      needs rewrite
1AE68B-2      needs rewrite
1AE849-0      needs rewrite?
1AE869-6      needs rewrite
1AE9AE-2      needs rewrite
1AEAB5-0      needs rewrite?
1AEFA8-1      needs rewrite?
1AEFBB-6      needs rewrite?
1AEFD1-4      needs rewrite?
1AF018-1      needs rewrite
1AF2A6-1      needs rewrite
1AF32A-0      needs rewrite
1AF7C1-3    x - mutually exclusive split choice
1AFA05-3    x - choice A
1AFBA3-1      needs rewrite
1AFE28-7    x - removes a line that feels out of place in English
1B815E-4      needs rewrite
1B8294-5      needs rewrite
1B82EF-4      needs rewrite
1B85F8-1      needs rewrite
1B899B-3      needs rewrite; INSERT TRANSLATION HERE
1B8A11-5      needs rewrite
1B9069-7      needs rewrite
1B9442-0      needs rewrite
1B9749-4      needs rewrite
1B97AA-4      needs rewrite
1B97F3-7      needs rewrite
1B989B-3      needs rewrite
1B98E4-0      needs rewrite
1B990B-7      needs rewrite
1B9A6A-4      needs rewrite
1B9AC9-1      needs rewrite
1B9B42-7      needs rewrite
1B9C42-0      needs rewrite
1B9C82-4      needs rewrite
1B9C9E-6      needs rewrite
1B9D43-3      needs rewrite
1B9EE3-0      needs rewrite
1BA269-6      needs rewrite?
1BA411-5      needs rewrite
1BA442-1      needs rewrite
1BA839-1      needs rewrite
1BA873-3      needs rewrite
1BAAC9-5      needs rewrite
1BABA4-2      needs rewrite
1BAC95-7      needs rewrite
1BAD0D-0      needs rewrite
1BAD42-2      needs rewrite?
1BADA0-6      needs rewrite
1BADDD-1      needs rewrite
1BAE03-7      needs rewrite
1BAE16-4      needs rewrite
1BAE2A-5      needs rewrite
1BAE95-5      needs rewrite
1BAF4D-4      needs rewrite
1BAFDA-1      needs rewrite
1BB047-2      needs rewrite;
1BB0C7-5      needs rewrite?
1BB319-1      needs rewrite
1BB4D2-7    x I suppose this has an untranslatable pun, but this works fine
1BB6A4-2      needs rewrite in pair with 1BB6E4-1
1BB6E4-1      needs rewrite in pair with 1BB6A4-2
1BB7A9-7      needs rewrite
1BB9B7-2      needs rewrite?
1BBA61-5      needs rewrite
1BBB3A-7      needs rewrite
1BBBD3-6      needs rewrite?
1BBE57-5      needs rewrite
1BC05B-4      needs rewrite
1BC0F6-3      needs rewrite
1BC11F-2      needs rewrite?
1BC18A-2      needs rewrite?
1BC467-3      needs rewrite
1BC4CE-4      needs rewrite
1BC57C-4      needs rewrite
1BC7C6-6      needs rewrite on laugh
1BC897-3      needs rewrite
1BC8DE-2      needs rewrite
1BCBA8-3      needs rewrite
1BCFBD-1      needs rewrite
1BCFF4-1      needs rewrite?
1BD1E0-2      needs rewrite
1BD485-0    x but possible to express exasperation better?
1BD58E-1      needs rewrite
1BD62E-3      needs rewrite
1BD6F2-5      needs rewrite
1BD93B-6      needs rewrite
1BDB31-3      needs rewrite? possibly untranslatable dialogue
1BDC62-7      needs rewrite
1BDDB9-3      needs rwrite
1BDE24-3      needs rewrite
1BE15C-7      needs rewrite
1BE17C-3      needs rewrite
1BE1AA-7      needs rewrite
1BE1FA-3      needs rewrite
1BE397-5      needs rewrite
1BE3DA-1      needs rewrite
1BE411-5      needs rewrite
1BE4F6-5      needs rewrite
1BE58B-5      needs rewrite
1BE71B-6      needs rewrite
1BEC08-2      needs rewrite for associated choices?
1BECA2-1      needs rewrite
1BEEE5-0      needs rewrite
1BF001-2    x - but found this strange audio bug once on clear code from 1298
1BF493-3      needs rewrite
1BF556-5      needs rewrite
1BF905-1      needs rewrite
1BFA07-3      needs rewrite
1BFA67-6      needs rewrite
1BFB55-2      needs rewrite
1BFC6E-7      needs rewrite
1BFCB8-7      needs rewrite
1BFE35-2      needs rewrite
1C8215-3      needs rewrite
1C8819-1      needs rewrite?
1C8FC0-0      needs rewrite?
1C96D7-0      needs rewrite?
1CA31E-2      needs rewrite?
1CA9E1-6      needs rewrite
1CB9BB-2      needs rewrite
1CBAB7-4      needs rewrite
1CBCD2-1      needs rewrite
1CBF25-4      needs rewrite
1CBF4A-7      needs rewrite
1CC013-7      needs rewrite for last line
1CC2C8-1      confirm rewrite with another person
1CC402-4      needs rewrite
1CCA4E-0      needs rewrite
1CCAD0-3      needs rewrite
1CCC08-6      needs rewrite
1CCD0B-0      needs rewrite
1CCF5C-3      needs rewrite
1CCFCC-7      needs rewrite
1CD5E2-1      needs rewrite
1CD6F2-0      needs rewrite
1CD71C-0      needs rewrite
1CE7D4-0      needs rewrite
1CEB40-3      needs rewrite
1CEF07-1      needs rewrite?
1CF163-0      needs rewrite
1CF7F2-1      needs rewrite
1CF96E-3      needs rewrite
1CFAF6-4      needs rewrite?
1CFDB5-7      needs rewrite
1D83F4-3    x - choice branch to A, B
1D84EA-4    x - choice branch B
1D85BE-1    x - choice branch A
1D8921-2    x - eventual converging point
1D91DC-1      needs rewrite
1D9340-1      needs rewrite
1D9EB5-3      needs rewrite
1DA9F2-0      needs rewrite
1DABF9-3      needs rewrite?
1DACC6-0      needs rewrite
1DADBA-2      needs rewrite?
1DB2A7-7    x possibly untranslatable pun?
1DB4D2-0      needs rewrite
1DB87E-6      needs rewrite?
1DB8BC-3      needs rewrite?
1DB9C4-0      possibly needs rewrite
1DBAC2-0      needs rewrite?
1DBB27-2      needs rewrite
1DBC8E-0    x but tight fit for first line
1DC340-1      needs rewrite?
1DC806-0      needs rewrite?
1DCDFE-1      needs rewrite
1DD0F0-3    x - approximate start of ending exclusive text
1DD327-5      needs rewrite
1DD36B-1      needs rewrite
1DD559-0      needs better translation
1DD616-3      needs rewrite, 「わたしだって」
1DD6E3-1      needs rewrite, 「わたしだって」
1DDDCF-1      needs rewrite, 「わたしだって」
1DE162-7      needs rewrite
1DE1DF-0      needs rewrite
1DE267-3      needs rewrite, 「わたしだって」
1DE315-4      needs rewrite, 「わたしだって」
1DE4D6-0      needs rewrite
1DE586-0      needs rewrite, 「わたしだって」
1DE98E-3      needs rewrite
1DEC7B-6      needs rewrite, 「わたしだって」
1DED58-4      needs rewrite, 「わたしだって」
1DF157-7      needs rewrite
1DF7A1-3      needs rewrite
1DFDF3-6      needs rewrite
1DFE2A-4      needs rewrite
1E82D2-3      needs confirmation on who's saying what
1E8360-6      needs rewrite; untranslatable joke about using the Kansai dialect?
1E83A8-1      needs rewrite; has reference to Ultraman's battle cry
1E88B5-1    x - but confirm correct translation for 黒子
1E8A91-6      needs rewrite
1E8CAC-1      needs rewrite
1E8E4C-5      needs rewrite?
1E8F55-2      needs rewrite
1E8FB1-3      needs rewrite
1E916F-6      needs rewrite
1E9304-3      needs rewrite
1E94FD-1      needs rewrite?
1E9621-0    - depends on next three options
1E9630-2      needs rewrite
1E9749-4      check rewrite
1E998F-1      needs rewrite
1E9AA1-3      needs rewrite
1E9C93-1      needs rewrite
1E9EE9-3      needs rewrite
1E9F6C-1      needs rewrite
1EA13F-4      needs/check rewrite
1EA17A-4      needs rewrite
1EA1B4-7      needs rewrite?
1EA1E2-1      needs rewrite
1EA709-5      needs rewrite
1EA7B6-6    - depends on next three lines
1EA7D2-6      needs rewrite/retranslation of verb forms
1EA999-1      needs rewrite
1EAA48-0      possibly needs rewrite
1EAB38-3      needs rewrite
1EAC4B-7      needs rewrite?
1EACA6-1      possibly needs rewrite
1EACF9-0      needs rewrite
1EAF8E-5      needs rewrite
1EB01E-1      needs rewrite
1EB2B2-2      NEEDS rewrite
1EB2E0-5      needs rewrite
1EB404-7      needs rewrite
1EB44F-2      needs rewrite
1EB4E3-3      needs rewrite
1EB61A-1      needs rewrite
1EB643-2      needs rewrite?
1EB8AE-0      needs rewrite on laugh
1EBB38-2      possibly needs rewrite
1EBDA3-2      needs rewrite
1EBEA0-7      confirm translation choice
1EBEE4-3      needs rewrite
1EBF82-1      needs rewrite
1EC486-4      possibly needs rewrite
1EC7CD-5      needs rewrite
1ECB93-6      needs rewrite
1ECC01-4      NEEDS rewrite
1ECD97-6      needs rewrite
1ECE9B-7      needs rewrite
1ED025-2      needs rewrite?
1ED446-3      needs rewrite
1ED644-0      needs rewrite
1EDAFB-1      needs rewrite
1EDB68-2      needs rewrite?
1EDDE8-2      needs rewrite
1EDF33-7      needs rewrite?
1EE03D-5      needs rewrite
1EE1CB-7      needs rewrite
1EE23D-0      needs rewrite
1EE2F4-6      needs rewrite?
1EE46D-3      needs rewrite
1EE491-0      needs rewrite
1EE4FA-3      needs rewrite
1EE550-7      needs rewrite
1EE7C9-0      needs rewrite
1EE804-4      needs rewrite
1EEB14-1      needs rewrite
1EF27E-5      needs rewrite
1EF442-1      needs rewrite
1EF619-4      needs rewrite
1EF67B-1      confirm translation choice with someone else
1EFBB0-0    x - note: unused text
1EFD52-0      needs rewrite
1EFE39-7      needs rewrite
1EFEC7-0      needs rewrite - confirm who's the subject in the sentence
1EFF71-1      needs rewrite
1F8023-1      needs rewrite?
1F811E-1      needs rewrite - confirm if found correct vocab for けんせい, 牽制
1F8490-3      needs rewrite
1F864B-7    x - sound didn't play when coming from 1C8C68-6
1F8711-2    x - start here for any rewrites because of fire vfx
1F885F-0      needs rewrite
1F88AD-7      needs rewrite
1F89FB-4      needs rewrite?
1F8B31-2      possibly needs rewrite
1F9111-6      potentially needs rewrite, feels stiff
1F925B-5      needs rewrite
1F92B3-2      needs rewrite
1F931A-7      needs rewrite
